ano,idFuncao,nomeFuncao,valorPago
2015,2,JUDICIARIA,4600.36
2015,2,JUDICIARIA,4019.05
2015,2,JUDICIARIA,1925
2015,2,JUDICIARIA,27583.7
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,6100
2015,2,JUDICIARIA,5444.84
2015,2,JUDICIARIA,244.5
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,9000
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,68134500
2015,2,JUDICIARIA,15811200
2015,2,JUDICIARIA,349538
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,20.63
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,31122.9
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,14527.3
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2472.75
2015,2,JUDICIARIA,153314
2015,2,JUDICIARIA,650311
2015,2,JUDICIARIA,601059
2015,2,JUDICIARIA,2131910
2015,2,JUDICIARIA,1250
2015,2,JUDICIARIA,2210.88
2015,2,JUDICIARIA,10000
2015,2,JUDICIARIA,97440
2015,2,JUDICIARIA,230
2015,2,JUDICIARIA,55955.1
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2469.33
2015,2,JUDICIARIA,1195.03
2015,2,JUDICIARIA,68.1
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,5053.37
2015,2,JUDICIARIA,19184
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3789.33
2015,2,JUDICIARIA,113550
2015,2,JUDICIARIA,24208.1
2015,2,JUDICIARIA,1110.32
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,47992
2015,2,JUDICIARIA,398691
2015,2,JUDICIARIA,32969100
2015,2,JUDICIARIA,7812540
2015,2,JUDICIARIA,3874040
2015,2,JUDICIARIA,2716.39
2015,2,JUDICIARIA,6799810
2015,2,JUDICIARIA,119132
2015,2,JUDICIARIA,63000
2015,2,JUDICIARIA,68914000
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2240.6
2015,2,JUDICIARIA,107.74
2015,2,JUDICIARIA,2991.6
2015,2,JUDICIARIA,9023.59
2015,2,JUDICIARIA,4957.45
2015,2,JUDICIARIA,172321
2015,2,JUDICIARIA,2171.47
2015,2,JUDICIARIA,96000
2015,2,JUDICIARIA,74619.2
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,2857.31
2015,2,JUDICIARIA,39202.7
2015,2,JUDICIARIA,345019
2015,2,JUDICIARIA,1733140
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,5242.82
2015,2,JUDICIARIA,536.64
2015,2,JUDICIARIA,11340
2015,2,JUDICIARIA,28.49
2015,2,JUDICIARIA,30976.1
2015,2,JUDICIARIA,3258.7
2015,2,JUDICIARIA,42.57
2015,2,JUDICIARIA,4809.75
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,3273.87
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,4473.45
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,13213.6
2015,2,JUDICIARIA,24536
2015,2,JUDICIARIA,519.46
2015,2,JUDICIARIA,7990.03
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,465787
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,209728
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,9509.5
2015,2,JUDICIARIA,2664100
2015,2,JUDICIARIA,8365.74
2015,2,JUDICIARIA,35235.5
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,5269
2015,2,JUDICIARIA,18096.8
2015,2,JUDICIARIA,1100
2015,2,JUDICIARIA,11000
2015,2,JUDICIARIA,9729.2
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,24440.6
2015,2,JUDICIARIA,17976
2015,2,JUDICIARIA,49.1
2015,2,JUDICIARIA,5747.8
2015,2,JUDICIARIA,7993.57
2015,2,JUDICIARIA,12019.3
2015,2,JUDICIARIA,371025
2015,2,JUDICIARIA,162425
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,182000
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,309
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,20150.1
2015,2,JUDICIARIA,32436.8
2015,2,JUDICIARIA,3712
2015,2,JUDICIARIA,24994.3
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,31757.5
2015,2,JUDICIARIA,6491740
2015,2,JUDICIARIA,50557.2
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,945148
2015,2,JUDICIARIA,419751
2015,2,JUDICIARIA,794626
2015,2,JUDICIARIA,1210790
2015,2,JUDICIARIA,75982.2
2015,2,JUDICIARIA,22930300
2015,2,JUDICIARIA,1309940
2015,2,JUDICIARIA,201530
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,16170.4
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,5086.42
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,485411
2015,2,JUDICIARIA,40397
2015,2,JUDICIARIA,12915.3
2015,2,JUDICIARIA,44079.6
2015,2,JUDICIARIA,72724.9
2015,2,JUDICIARIA,587626
2015,2,JUDICIARIA,4722.36
2015,2,JUDICIARIA,41269.6
2015,2,JUDICIARIA,9237.93
2015,2,JUDICIARIA,29015
2015,2,JUDICIARIA,24832.3
2015,2,JUDICIARIA,15529.5
2015,2,JUDICIARIA,28.77
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,1001540
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,0
2015,2,JUDICIARIA,77192.8
